Date,Open,High,Low,Close,Adj Close
28-05-21,15421.2,15469.65,15394.75,15435.65,15435.65
31-05-21,15437.75,15606.35,15374,15582.8,15582.8
01-06-21,15629.65,15660.75,15528.3,15574.85,15574.85
02-06-21,15520.35,15597.45,15459.85,15576.2,15576.2
03-06-21,15655.55,15705.1,15611,15690.35,15690.35
04-06-21,15712.5,15733.6,15622.35,15670.25,15670.25
07-06-21,15725.1,15773.45,15678.1,15751.65,15751.65
08-06-21,15773.9,15778.8,15680,15740.1,15740.1
09-06-21,15766.3,15800.45,15566.9,15635.35,15635.35
10-06-21,15692.1,15751.25,15648.5,15737.75,15737.75
11-06-21,15796.45,15835.55,15749.8,15799.35,15799.35
14-06-21,15791.4,15823.05,15606.5,15811.85,15811.85
15-06-21,15866.95,15901.6,15842.4,15869.25,15869.25
16-06-21,15847.5,15880.85,15742.6,15767.55,15767.55
17-06-21,15648.3,15769.35,15616.75,15691.4,15691.4
18-06-21,15756.5,15761.5,15450.9,15683.35,15683.35
21-06-21,15525.85,15765.15,15505.65,15746.5,15746.5
22-06-21,15840.5,15895.75,15752.1,15772.75,15772.75
23-06-21,15862.8,15862.95,15673.95,15686.95,15686.95
24-06-21,15737.3,15821.4,15702.7,15790.45,15790.45
25-06-21,15839.35,15870.8,15772.3,15860.35,15860.35
28-06-21,15915.35,15915.65,15792.15,15814.7,15814.7
29-06-21,15807.5,15835.9,15724.05,15748.45,15748.45
30-06-21,15776.9,15839.1,15708.75,15721.5,15721.5
01-07-21,15755.05,15755.55,15667.05,15680,15680
02-07-21,15705.85,15738.35,15635.95,15722.2,15722.2
05-07-21,15793.4,15845.95,15762.05,15834.35,15834.35
06-07-21,15813.75,15914.2,15801,15818.25,15818.25
07-07-21,15819.6,15893.55,15779.7,15879.65,15879.65
08-07-21,15855.4,15885.75,15682.9,15727.9,15727.9
09-07-21,15688.25,15730.85,15632.75,15689.8,15689.8
12-07-21,15766.8,15789.2,15644.75,15692.6,15692.6
13-07-21,15794,15820.8,15744.6,15812.35,15812.35
14-07-21,15808.7,15877.35,15764.2,15853.95,15853.95
15-07-21,15872.15,15952.35,15855,15924.2,15924.2
16-07-21,15958.35,15962.25,15882.6,15923.4,15923.4
19-07-21,15754.5,15836.9,15707.5,15752.4,15752.4
20-07-21,15703.95,15728.45,15578.55,15632.1,15632.1
22-07-21,15736.6,15834.8,15726.4,15824.05,15824.05
23-07-21,15856.8,15899.8,15768.4,15856.05,15856.05
26-07-21,15849.3,15893.35,15797,15824.45,15824.45
27-07-21,15860.5,15881.55,15701,15746.45,15746.45
28-07-21,15761.55,15767.5,15513.45,15709.4,15709.4
29-07-21,15762.7,15817.35,15737.8,15778.45,15778.45
30-07-21,15800.6,15862.8,15744.85,15763.05,15763.05
02-08-21,15874.9,15892.9,15834.65,15885.15,15885.15
03-08-21,15951.55,16146.9,15914.35,16130.75,16130.75
04-08-21,16195.25,16290.2,16176.15,16258.8,16258.8
05-08-21,16288.95,16349.45,16210.3,16294.6,16294.6
06-08-21,16304.4,16336.75,16223.3,16238.2,16238.2
09-08-21,16281.35,16320.75,16179.05,16258.25,16258.25
10-08-21,16274.8,16359.25,16202.25,16280.1,16280.1
11-08-21,16327.3,16338.75,16162.55,16282.25,16282.25
12-08-21,16303.65,16375.5,16286.9,16364.4,16364.4
13-08-21,16385.7,16543.6,16376.3,16529.1,16529.1
16-08-21,16518.4,16589.4,16480.75,16563.05,16563.05
17-08-21,16545.25,16628.55,16495.4,16614.6,16614.6
18-08-21,16691.95,16701.85,16535.85,16568.85,16568.85
20-08-21,16382.5,16509.55,16376.05,16450.5,16450.5
23-08-21,16592.25,16592.5,16395.7,16496.45,16496.45
24-08-21,16561.4,16647.1,16495.3,16624.6,16624.6
25-08-21,16654,16712.45,16617.5,16634.65,16634.65
26-08-21,16627.95,16683.7,16603.4,16636.9,16636.9
27-08-21,16642.55,16722.05,16565.6,16705.2,16705.2
30-08-21,16775.85,16951.5,16764.85,16931.05,16931.05
31-08-21,16947.5,17153.5,16915.85,17132.2,17132.2
01-09-21,17185.6,17225.75,17055.05,17076.25,17076.25
02-09-21,17095.4,17245.5,17059.7,17234.15,17234.15
03-09-21,17262.45,17340.1,17212.2,17323.6,17323.6
06-09-21,17399.35,17429.55,17345.55,17377.8,17377.8
07-09-21,17401.55,17436.5,17287,17362.1,17362.1
08-09-21,17375.75,17383.4,17254.2,17353.5,17353.5
09-09-21,17312.85,17379.65,17302.7,17369.25,17369.25
13-09-21,17363.55,17378.35,17269.15,17355.3,17355.3
14-09-21,17420.35,17438.55,17367.05,17380,17380
15-09-21,17387.65,17532.7,17386.9,17519.45,17519.45
16-09-21,17539.2,17644.6,17510.45,17629.5,17629.5
17-09-21,17709.65,17792.95,17537.65,17585.15,17585.15
20-09-21,17443.85,17622.75,17361.8,17396.9,17396.9
21-09-21,17450.5,17578.35,17326.1,17562,17562
22-09-21,17580.9,17610.45,17524,17546.65,17546.65
23-09-21,17670.85,17843.9,17646.55,17822.95,17822.95
